Airline,Flight_no,Time_Stamp_Date,Time_Stamp_Time,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Price
IndiGo,6E 6813,20/11/25,0:00,Banglore,New Delhi,BLR - DEL,23:30,2:25,2h 55m,non stop,6194
IndiGo,6E 6813,20/11/25,3:00,Banglore,New Delhi,BLR - DEL,23:30,2:25,2h 55m,non stop,6194
IndiGo,6E 6813,20/11/25,6:00,Banglore,New Delhi,BLR - DEL,23:30,2:25,2h 55m,non stop,6194
IndiGo,6E 6813,20/11/25,9:00,Banglore,New Delhi,BLR - DEL,23:30,2:25,2h 55m,non stop,6622
IndiGo,6E 6813,20/11/25,12:00,Banglore,New Delhi,BLR - DEL,23:30,2:25,2h 55m,non stop,6622
IndiGo,6E 6813,20/11/25,15:00,Banglore,New Delhi,BLR - DEL,23:30,2:25,2h 55m,non stop,6622
IndiGo,6E 6813,20/11/25,18:00,Banglore,New Delhi,BLR - DEL,23:30,2:25,2h 55m,non stop,6622
IndiGo,6E 6813,20/11/25,21:00,Banglore,New Delhi,BLR - DEL,23:30,2:25,2h 55m,non stop,6622
IndiGo,6E 6813,21/11/25,0:00,Banglore,New Delhi,BLR - DEL,23:30,2:25,2h 55m,non stop,6622
IndiGo,6E 6813,21/11/25,3:00,Banglore,New Delhi,BLR - DEL,23:30,2:25,2h 55m,non stop,6214
IndiGo,6E 6813,21/11/25,6:00,Banglore,New Delhi,BLR - DEL,23:30,2:25,2h 55m,non stop,6214
IndiGo,6E 6813,21/11/25,9:00,Banglore,New Delhi,BLR - DEL,23:30,2:25,2h 55m,non stop,6517
IndiGo,6E 6813,21/11/25,12:00,Banglore,New Delhi,BLR - DEL,23:30,2:25,2h 55m,non stop,6517
IndiGo,6E 6813,21/11/25,15:00,Banglore,New Delhi,BLR - DEL,23:30,2:25,2h 55m,non stop,6517
IndiGo,6E 6813,21/11/25,18:00,Banglore,New Delhi,BLR - DEL,23:30,2:25,2h 55m,non stop,6517
IndiGo,6E 6813,21/11/25,21:00,Banglore,New Delhi,BLR - DEL,23:30,2:25,2h 55m,non stop,6815
IndiGo,6E 6813,22/11/25,0:00,Banglore,New Delhi,BLR - DEL,23:30,2:25,2h 55m,non stop,6815
IndiGo,6E 6813,22/11/25,3:00,Banglore,New Delhi,BLR - DEL,23:30,2:25,2h 55m,non stop,6815
IndiGo,6E 6813,22/11/25,6:00,Banglore,New Delhi,BLR - DEL,23:30,2:25,2h 55m,non stop,6815
IndiGo,6E 6813,22/11/25,9:00,Banglore,New Delhi,BLR - DEL,23:30,2:25,2h 55m,non stop,6815
IndiGo,6E 6813,22/11/25,12:00,Banglore,New Delhi,BLR - DEL,23:30,2:25,2h 55m,non stop,6885
IndiGo,6E 6813,22/11/25,15:00,Banglore,New Delhi,BLR - DEL,23:30,2:25,2h 55m,non stop,6885
IndiGo,6E 6813,22/11/25,18:00,Banglore,New Delhi,BLR - DEL,23:30,2:25,2h 55m,non stop,6885
IndiGo,6E 6813,22/11/25,21:00,Banglore,New Delhi,BLR - DEL,23:30,2:25,2h 55m,non stop,8274
IndiGo,6E 6283,20/11/25,0:00,Banglore,New Delhi,BLR - BOM - DEL,23:25,5:00,5h 35m,1 stop,6567
IndiGo,6E 6283,20/11/25,3:00,Banglore,New Delhi,BLR - BOM - DEL,23:25,5:00,5h 35m,1 stop,6567
IndiGo,6E 6283,20/11/25,6:00,Banglore,New Delhi,BLR - BOM - DEL,23:25,5:00,5h 35m,1 stop,6567
IndiGo,6E 6283,20/11/25,9:00,Banglore,New Delhi,BLR - BOM - DEL,23:25,5:00,5h 35m,1 stop,7040
IndiGo,6E 6283,20/11/25,12:00,Banglore,New Delhi,BLR - BOM - DEL,23:25,5:00,5h 35m,1 stop,7040
IndiGo,6E 6283,20/11/25,15:00,Banglore,New Delhi,BLR - BOM - DEL,23:25,5:00,5h 35m,1 stop,7040
IndiGo,6E 6283,20/11/25,18:00,Banglore,New Delhi,BLR - BOM - DEL,23:25,5:00,5h 35m,1 stop,6738
IndiGo,6E 6283,20/11/25,21:00,Banglore,New Delhi,BLR - BOM - DEL,23:25,5:00,5h 35m,1 stop,6826
IndiGo,6E 6283,21/11/25,0:00,Banglore,New Delhi,BLR - BOM - DEL,23:25,5:00,5h 35m,1 stop,7589
IndiGo,6E 6283,21/11/25,3:00,Banglore,New Delhi,BLR - BOM - DEL,23:25,5:00,5h 35m,1 stop,7341
IndiGo,6E 6283,21/11/25,6:00,Banglore,New Delhi,BLR - BOM - DEL,23:25,5:00,5h 35m,1 stop,7341
IndiGo,6E 6283,21/11/25,9:00,Banglore,New Delhi,BLR - BOM - DEL,23:25,5:00,5h 35m,1 stop,7772
IndiGo,6E 6283,21/11/25,12:00,Banglore,New Delhi,BLR - BOM - DEL,23:25,5:00,5h 35m,1 stop,8262
IndiGo,6E 6283,21/11/25,15:00,Banglore,New Delhi,BLR - BOM - DEL,23:25,5:00,5h 35m,1 stop,8262
IndiGo,6E 6283,21/11/25,18:00,Banglore,New Delhi,BLR - BOM - DEL,23:25,5:00,5h 35m,1 stop,8281
IndiGo,6E 6283,21/11/25,21:00,Banglore,New Delhi,BLR - BOM - DEL,23:25,5:00,5h 35m,1 stop,8284
IndiGo,6E 6283,22/11/25,0:00,Banglore,New Delhi,BLR - BOM - DEL,23:25,5:00,5h 35m,1 stop,9532
IndiGo,6E 6283,22/11/25,3:00,Banglore,New Delhi,BLR - BOM - DEL,23:25,5:00,5h 35m,1 stop,9532
IndiGo,6E 6283,22/11/25,6:00,Banglore,New Delhi,BLR - BOM - DEL,23:25,5:00,5h 35m,1 stop,10319
IndiGo,6E 6283,22/11/25,9:00,Banglore,New Delhi,BLR - BOM - DEL,23:25,5:00,5h 35m,1 stop,10319
IndiGo,6E 6283,22/11/25,12:00,Banglore,New Delhi,BLR - BOM - DEL,23:25,5:00,5h 35m,1 stop,10402
IndiGo,6E 6283,22/11/25,15:00,Banglore,New Delhi,BLR - BOM - DEL,23:25,5:00,5h 35m,1 stop,10402
